error	AC147602.5_FG004
error	AC148152.3_FG001
error	AC148152.3_FG005
error	AC148152.3_FG006
error	AC148152.3_FG008
AC148167.6_FG001	Sb02g004800	Si029611m.g	LOC_Os07g08790	Bradi1g55170	none
GRMZM2G129543	Sb04g008640	Si017824m.g	LOC_Os02g14430	none	none
GRMZM2G129554	Sb01g009400	Si034681m.g	LOC_Os03g51900	Bradi1g09970	none
GRMZM2G129569	Sb04g033456	Si016281m.g	LOC_Os02g43130	Bradi3g50150	kinesin
GRMZM2G129575	Sb02g037850	Si029042m.g	LOC_Os07g39780	Bradi1g23100	none
GRMZM2G129585	Sb07g003830	none	LOC_Os08g06090	Bradi3g16540	none
error	GRMZM2G129597
GRMZM2G129615	Sb07g005220	Si013964m.g	LOC_Os08g08860	Bradi3g15290	none
GRMZM2G129620	Sb01g003140	Si036396m.g	LOC_Os03g60700	Bradi1g03660	none
GRMZM2G129635	Sb10g022830	Si006418m.g	LOC_Os06g38510	Bradi1g37280	none
GRMZM2G129642	Sb10g024160	Si005869m.g	LOC_Os06g41090	Bradi1g35970	none
GRMZM2G129674	Sb01g045070	Si036647m.g	LOC_Os03g08460	Bradi1g72457	none
GRMZM2G129675	Sb04g033470	Si016844m.g	LOC_Os02g43040	Bradi3g50130	none
GRMZM2G129681	Sb01g009410	Si037459m.g	LOC_Os03g51880	Bradi1g09980	none
GRMZM2G129700	Sb01g009430	Si037208m.g	LOC_Os03g51830	Bradi1g10000	none
GRMZM2G129713	Sb04g008542	Si016790m.g	LOC_Os02g14090	none	none
GRMZM2G129761	Sb02g040650	Si031051m.g	LOC_Os07g44430	Bradi1g20040	none
GRMZM2G129775	Sb08g002593	none	none	none	none
GRMZM2G129777	Sb03g007200	Si002186m.g	LOC_Os01g04020	Bradi2g02100	none
GRMZM2G129781	Sb06g016430	Si010338m.g	LOC_Os04g34440	Bradi5g09920	none
GRMZM2G129783	Sb10g020540	Si005922m.g	LOC_Os06g12539	none	none
GRMZM2G129792	none	none	none	none	none
GRMZM2G129804	Sb08g002610	none	LOC_Os11g02450	none	none
GRMZM2G129806	Sb03g008700	Si000592m.g	none	Bradi2g00620	none
GRMZM2G129815	Sb01g037040	Si037859m.g	LOC_Os03g20330	Bradi1g64050	none
GRMZM2G129817	Sb01g007950	Si034940m.g	LOC_Os03g53960	Bradi1g08470	none
GRMZM2G129843	none	none	none	none	none
GRMZM2G129860	Sb03g028610	none	LOC_Os01g43710	Bradi2g44140	cytochrome p-450 cyp72
GRMZM2G129865	Sb01g007870	none	LOC_Os03g54050	Bradi1g08410	none
GRMZM2G129872	Sb01g037670	Si039538m.g	LOC_Os03g19120	Bradi1g64687	none
GRMZM2G129879	Sb07g022140	Si014510m.g	LOC_Os08g34984	Bradi3g37390	none
GRMZM2G129889	Sb01g007850	Si034030m.g	LOC_Os03g54084	Bradi1g08400	phytochrome c
GRMZM2G129907	Sb08g001060	Si026945m.g	none	Bradi4g26580	none
GRMZM2G129913	Sb01g007840	Si036131m.g	LOC_Os03g54091	Bradi1g08390	spo11
GRMZM2G129929	Sb04g023950	Si018725m.g	none	none	none
GRMZM2G129935	Sb02g040660	Si030179m.g	LOC_Os07g44460	Bradi1g20000	none
GRMZM2G129947	Sb10g017800	none	LOC_Os06g28000	none	none
GRMZM2G129954	Sb08g001140	Si026876m.g	LOC_Os12g04500	none	none
GRMZM2G129957	Sb06g029410	none	none	none	none
GRMZM2G129973	Sb02g036133	Si030219m.g	LOC_Os07g37040	Bradi1g24970	none
GRMZM2G129979	none	none	none	none	none
GRMZM2G129987	Sb04g006540	Si017983m.g	LOC_Os02g10220	Bradi3g07070	none
GRMZM2G129994	none	none	none	none	none
GRMZM2G130002	none	none	LOC_Os02g56280	Bradi3g54747	none
GRMZM2G130010	Sb09g004280	Si011262m.g	LOC_Os05g06290	Bradi2g35110	none
GRMZM2G130016	Sb01g014480	Si035278m.g	none	Bradi1g14560	none
GRMZM2G130018	Sb04g022410	Si017369m.g	LOC_Os02g34600	Bradi3g45460	none
GRMZM2G130034	Sb08g020250	Si022361m.g	LOC_Os12g40550	Bradi4g02700	none
GRMZM2G130043	Sb04g036590	Si016436m.g	LOC_Os02g56320	none	starch synthase
GRMZM2G130046	Sb04g020140	Si016867m.g	LOC_Os02g29530	Bradi3g43810	none
GRMZM2G130049	Sb05g001490	Si028245m.g	LOC_Os12g02840	Bradi4g44110	none
GRMZM2G130052	Sb02g007620	Si030911m.g	LOC_Os07g14540	Bradi1g53340	none
GRMZM2G130053	Sb01g007820	Si036402m.g	LOC_Os03g54130	Bradi1g08357	none
GRMZM2G130055	Sb04g006570	none	none	none	none
GRMZM2G130062	Sb08g001160	Si026107m.g	LOC_Os12g04440	none	none
GRMZM2G130064	Sb04g006590	Si016588m.g	LOC_Os02g10260	Bradi3g07090	none
GRMZM2G130065	none	none	none	none	none
GRMZM2G130076	none	none	none	none	none
GRMZM2G130079	Sb10g004100	Si008119m.g	LOC_Os06g06460	Bradi1g48660	none
GRMZM2G130085	Sb06g018930	Si010097m.g	LOC_Os04g38640	Bradi5g12370	none
GRMZM2G130095	Sb08g020260	Si021776m.g	LOC_Os12g40560	Bradi4g02690	none
GRMZM2G130101	Sb03g024880	Si002718m.g	LOC_Os01g37480	Bradi2g40990	none
GRMZM2G130109	Sb06g020660	Si010068m.g	LOC_Os04g40910	Bradi5g13890	none
GRMZM2G130119	Sb03g033880	Si001309m.g	LOC_Os01g53420	Bradi2g49100	none
GRMZM2G130121	Sb01g032210	Si034086m.g	LOC_Os03g31300	Bradi1g16190	none
GRMZM2G130127	Sb08g015620	none	LOC_Os12g31840	Bradi4g06790	none
GRMZM2G130131	Sb05g003530	Si026477m.g	LOC_Os11g05770	none	none
GRMZM2G130149	Sb08g018580	Si023104m.g	LOC_Os12g37970	none	none
GRMZM2G130167	Sb04g031150	Si016869m.g	LOC_Os02g46720	none	none
GRMZM2G130173	Sb09g001320	none	none	none	none
GRMZM2G130207	none	none	none	none	none
GRMZM2G130213	Sb04g031130	Si019527m.g	LOC_Os02g46760	none	none
GRMZM2G130224	Sb06g020650	Si010298m.g	LOC_Os04g40900	Bradi5g13880	none
GRMZM2G130230	Sb06g020640	Si009888m.g	LOC_Os04g40874	Bradi5g13860	glucose-6-phosphate dehydrogenase
GRMZM2G130232	none	Si037571m.g	LOC_Os10g25060	none	none
GRMZM2G130239	Sb09g022640	none	none	none	none
GRMZM2G130256	Sb05g005880	none	none	none	none
GRMZM2G130260	Sb01g000480	Si038865m.g	LOC_Os03g64100	Bradi1g00880	none
GRMZM2G130278	Sb02g031010	Si030782m.g	LOC_Os09g36370	Bradi4g36280	none
GRMZM2G130287	Sb07g024040	Si013920m.g	LOC_Os08g44560	Bradi3g42980	none
GRMZM2G130302	Sb01g000450	Si035478m.g	LOC_Os03g64130	Bradi1g00840	none
GRMZM2G130305	Sb03g025970	Si002526m.g	LOC_Os01g39790	Bradi2g41780	none
GRMZM2G130314	none	none	none	none	none
GRMZM2G130332	Sb08g018570	Si022462m.g	LOC_Os12g37960	none	none
GRMZM2G130333	Sb03g028820	none	LOC_Os01g44130	Bradi2g44420	none
GRMZM2G130343	none	none	none	none	none
GRMZM2G130348	Sb03g011420	Si001691m.g	LOC_Os01g17390	Bradi2g10870	none
GRMZM2G130351	Sb06g013790	Si010050m.g	none	Bradi5g07930	none
GRMZM2G130354	Sb03g028830	none	LOC_Os01g44140	Bradi2g44430	none
GRMZM2G130356	Sb03g025980	Si002526m.g	LOC_Os01g39800	Bradi2g41780	none
GRMZM2G130358	Sb03g028840	none	LOC_Os01g44210	Bradi2g44440	none
GRMZM2G130366	Sb03g011400	Si000716m.g	LOC_Os01g17320	Bradi2g10850	none
GRMZM2G130374	Sb08g020270	Si022461m.g	LOC_Os12g40570	Bradi4g02680	none
GRMZM2G130375	Sb03g025990	Si000317m.g	LOC_Os01g39830	Bradi2g41830	none
GRMZM2G130379	Sb05g019800	Si026962m.g	LOC_Os11g32500	Bradi4g17260	none
GRMZM2G130382	Sb04g004736	Si018183m.g	LOC_Os02g07430	Bradi3g05260	none
GRMZM2G130389	Sb05g008240	Si026636m.g	LOC_Os11g11780	none	none
GRMZM2G130398	Sb02g040990	none	none	none	none
GRMZM2G130401	Sb10g024010	Si006532m.g	LOC_Os06g40890	Bradi1g36110	none
GRMZM2G130425	Sb04g009980	Si017105m.g	none	none	none
GRMZM2G130432	Sb04g033050	Si017543m.g	LOC_Os02g43850	Bradi3g50540	none
GRMZM2G130440	Sb02g025790	Si029116m.g	LOC_Os09g26880	Bradi4g31310	none
GRMZM2G130442	none	none	none	none	ocl5a protein
GRMZM2G130449	Sb10g003920	Si006727m.g	LOC_Os06g06280	Bradi1g48880	none
GRMZM2G130454	Sb01g005430	Si037731m.g	LOC_Os03g57970	Bradi1g05850	none
GRMZM2G130459	Sb04g027940	Si017580m.g	LOC_Os02g51300	Bradi3g59300	none
GRMZM2G130477	Sb09g002280	Si023372m.g	LOC_Os05g03540	Bradi2g38140	none
GRMZM2G130486	none	none	none	none	none
GRMZM2G130505	Sb07g028630	Si014065m.g	LOC_Os08g38700	Bradi3g39210	none
GRMZM2G130528	Sb10g003930	Si006718m.g	LOC_Os06g06290	Bradi1g48870	none
GRMZM2G130544	Sb01g005360	Si039655m.g	LOC_Os03g58050	Bradi1g05670	none
GRMZM2G130548	Sb04g027950	Si018214m.g	LOC_Os02g51290	Bradi3g59310	none
GRMZM2G130555	none	none	none	none	none
GRMZM2G130558	Sb03g037360	Si001983m.g	LOC_Os01g58870	Bradi2g52660	none
GRMZM2G130569	none	none	none	none	none
GRMZM2G130580	none	Si036215m.g	none	none	none
GRMZM2G130586	Sb03g030370	Si000305m.g	LOC_Os01g47430	Bradi2g45817	none
GRMZM2G130605	Sb03g012030	none	LOC_Os01g19140	Bradi2g11360	none
GRMZM2G130625	Sb01g006360	Si037478m.g	LOC_Os03g56700	Bradi1g06840	none
GRMZM2G130634	none	Si021623m.g	LOC_Os05g28860	Bradi2g28110	none
error	GRMZM2G130640
GRMZM2G130651	Sb02g009350	none	LOC_Os07g19030	none	none
GRMZM2G130659	none	none	none	none	none
GRMZM2G130675	Sb01g006340	Si038606m.g	none	none	none
GRMZM2G130678	Sb01g006330	Si037933m.g	LOC_Os03g56790	Bradi1g06820	none
GRMZM2G130686	Sb02g009360	Si033231m.g	LOC_Os07g19040	none	none
GRMZM2G130699	Sb09g001360	none	none	none	none
GRMZM2G130724	Sb08g016860	Si021330m.g	LOC_Os12g34850	Bradi4g05950	none
error	GRMZM2G130728
GRMZM2G130738	none	none	none	none	none
GRMZM2G130739	Sb01g020140	Si034060m.g	none	Bradi3g27970	none
GRMZM2G130746	Sb09g022690	Si023495m.g	LOC_Os05g38640	Bradi2g23090	none
GRMZM2G130749	Sb09g006110	Si021762m.g	LOC_Os05g10810	Bradi2g33180	none
GRMZM2G130755	none	none	none	none	none
GRMZM2G130764	Sb03g037980	Si005125m.g	LOC_Os01g60110	Bradi2g53310	none
GRMZM2G130773	Sb02g037620	Si029526m.g	LOC_Os07g39430	Bradi1g23400	none
GRMZM2G130784	Sb09g030300	none	none	none	none
GRMZM2G130790	Sb02g022160	Si030127m.g	none	Bradi4g28150	none
GRMZM2G130800	Sb03g007910	Si000544m.g	LOC_Os01g02940	Bradi2g01480	none
GRMZM2G130813	Sb04g000342	Si019569m.g	LOC_Os02g01190	Bradi3g00370	none
GRMZM2G130831	Sb03g038000	Si004955m.g	LOC_Os01g60140	Bradi2g53320	none
GRMZM2G130854	Sb02g037660	Si029245m.g	LOC_Os07g39480	Bradi1g23340	none
GRMZM2G130864	Sb03g007850	Si002536m.g	LOC_Os01g03060	Bradi2g01540	none
GRMZM2G130868	Sb03g007800	Si001238m.g	LOC_Os01g03110	Bradi2g01590	none
GRMZM2G130877	none	none	none	none	none
GRMZM2G130889	Sb06g027810	Si009718m.g	LOC_Os04g51690	Bradi5g20920	none
GRMZM2G130897	none	none	none	none	none
GRMZM2G130904	Sb01g020830	none	none	none	none
GRMZM2G130905	Sb10g024700	Si005940m.g	LOC_Os06g42640	Bradi1g35585	none
GRMZM2G130910	Sb02g020844	Si030310m.g	LOC_Os09g13740	Bradi4g27797	none
GRMZM2G130912	none	none	none	none	none
GRMZM2G130927	Sb01g010800	Si039120m.g	LOC_Os03g49640	Bradi1g10970	none
GRMZM2G130943	Sb01g043430	Si036085m.g	LOC_Os03g10950	Bradi1g70680	none
GRMZM2G130950	Sb02g043500	none	LOC_Os07g48790	Bradi1g17230	none
GRMZM2G130953	Sb03g003940	Si004034m.g	LOC_Os01g08320	Bradi2g05650	aux/iaa-transcription factor
GRMZM2G130959	Sb02g029520	Si031196m.g	none	Bradi4g34860	none
GRMZM2G130987	Sb01g043020	Si035483m.g	LOC_Os03g11440	Bradi1g70160	none
GRMZM2G131012	Sb01g013610	none	none	none	none
GRMZM2G131020	Sb10g025170	Si007072m.g	none	Bradi1g30400	none
GRMZM2G131024	Sb03g011040	none	none	none	none
GRMZM2G131026	Sb02g043200	Si029734m.g	LOC_Os07g48430	Bradi1g17490	none
GRMZM2G131043	none	none	none	none	none
GRMZM2G131055	none	Si000933m.g	none	Bradi2g13600	none
GRMZM2G131070	Sb10g025180	Si005951m.g	LOC_Os06g43560	Bradi1g30410	none
GRMZM2G131074	none	Si000479m.g	none	Bradi2g13610	none
GRMZM2G131080	none	none	none	none	none
GRMZM2G131087	none	Si018637m.g	none	none	none
GRMZM2G131099	Sb03g032795	none	none	none	none
error	GRMZM2G131118
GRMZM2G131120	Sb08g003510	Si010387m.g	LOC_Os12g06020	none	none
GRMZM2G131135	none	none	none	none	none
GRMZM2G131152	Sb09g006930	Si022168m.g	LOC_Os05g12380	Bradi2g32220	none
GRMZM2G131155	Sb06g016840	Si012614m.g	LOC_Os04g35130	Bradi5g10200	none
GRMZM2G131165	none	Si013787m.g	none	Bradi3g36860	hydroxycinnamoyltransferase
GRMZM2G131167	Sb02g038590	Si032662m.g	LOC_Os07g41120	Bradi1g22210	none
GRMZM2G131176	Sb09g021260	Si021322m.g	LOC_Os05g35480	Bradi2g24410	none
GRMZM2G131177	Sb06g016860	Si011730m.g	LOC_Os04g35140	Bradi5g10210	none
GRMZM2G131202	Sb06g016870	Si011131m.g	LOC_Os04g36640	Bradi5g10230	thioredoxin m
GRMZM2G131205	Sb07g021680	Si013961m.g	LOC_Os08g34280	Bradi3g36887	cinnamoyl-coa reductase
GRMZM2G131221	Sb01g030470	Si036376m.g	LOC_Os10g39400	Bradi3g32180	none
GRMZM2G131228	Sb02g038570	none	none	none	none
GRMZM2G131243	Sb02g038520	Si030406m.g	LOC_Os07g40986	Bradi1g22280	none
GRMZM2G131245	Sb08g022690	Si021799m.g	LOC_Os12g43560	Bradi4g00980	none
GRMZM2G131249	Sb09g004310	Si010823m.g	LOC_Os05g06330	Bradi2g35070	none
GRMZM2G131254	Sb08g022680	Si022335m.g	LOC_Os12g43550	Bradi4g00987	none
GRMZM2G131262	Sb02g038510	Si031201m.g	LOC_Os07g40940	Bradi1g22290	none
GRMZM2G131266	Sb07g021800	Si013842m.g	LOC_Os08g34360	Bradi3g36820	none
GRMZM2G131275	Sb02g033320	Si029765m.g	LOC_Os07g29780	Bradi1g27800	none
GRMZM2G131280	Sb06g027000	Si010911m.g	LOC_Os04g50120	Bradi5g19980	none
GRMZM2G131281	Sb02g029550	Si030810m.g	none	none	none
GRMZM2G131286	Sb02g035190	Si032116m.g	LOC_Os07g34640	Bradi1g25816	ppdk regulatory protein
GRMZM2G131309	Sb10g025470	Si008844m.g	none	none	none
GRMZM2G131315	none	Si001435m.g	LOC_Os01g43890	none	none
GRMZM2G131319	none	none	none	none	none
GRMZM2G131321	Sb06g018000	Si011121m.g	LOC_Os04g36859	Bradi5g10990	none
GRMZM2G131324	Sb01g010150	Si037036m.g	LOC_Os03g50620	Bradi1g10720	none
GRMZM2G131329	Sb07g002630	Si013323m.g	LOC_Os08g03670	Bradi3g14370	none
GRMZM2G131332	none	Si027903m.g	LOC_Os11g29230	none	none
GRMZM2G131334	Sb03g028740	Si000725m.g	LOC_Os01g43910	Bradi2g44350	none
GRMZM2G131340	Sb02g020880	none	LOC_Os09g13920	Bradi4g27830	none
GRMZM2G131351	none	none	none	none	none
GRMZM2G131356	none	none	none	none	none
error	GRMZM2G131358
GRMZM2G131378	Sb07g002660	Si013527m.g	LOC_Os08g03700	none	none
GRMZM2G131389	Sb02g041248	Si028652m.g	LOC_Os07g45160	Bradi1g19627	none
GRMZM2G131391	none	none	none	none	none
GRMZM2G131409	Sb05g026800	Si026929m.g	none	Bradi4g09930	none
GRMZM2G131421	Sb10g002900	Si007570m.g	LOC_Os06g04950	Bradi1g51080	none
GRMZM2G131431	Sb10g001780	Si008141m.g	none	Bradi1g49700	none
GRMZM2G131434	Sb07g021670	Si014686m.g	LOC_Os08g34270	Bradi3g36900	none
GRMZM2G131440	none	none	none	none	none
GRMZM2G131442	Sb05g026820	Si026574m.g	none	Bradi4g09900	none
GRMZM2G131443	Sb05g025690	Si025836m.g	none	none	none
GRMZM2G131448	Sb06g017990	Si010815m.g	LOC_Os04g36850	Bradi5g11000	none
GRMZM2G131467	Sb02g042060	Si030871m.g	LOC_Os07g46760	Bradi1g18680	none
GRMZM2G131473	none	Si013523m.g	none	none	none
GRMZM2G131476	Sb01g027430	Si037189m.g	LOC_Os10g01470	Bradi3g21480	none
GRMZM2G131482	Sb10g014430	Si005774m.g	LOC_Os06g29400	Bradi1g42320	none
GRMZM2G131487	Sb04g025750	none	LOC_Os02g39830	Bradi3g48520	none
GRMZM2G131489	Sb02g020290	Si030569m.g	LOC_Os09g12540	Bradi4g27480	none
GRMZM2G131508	none	none	none	none	none
GRMZM2G131516	Sb05g001500	none	LOC_Os11g03110	Bradi4g44090	gras
GRMZM2G131525	Sb01g008840	Si039624m.g	LOC_Os03g52650	Bradi1g09440	none
GRMZM2G131529	none	none	none	none	none
GRMZM2G131539	Sb01g040040	Si035477m.g	LOC_Os03g15950	Bradi1g67090	none
GRMZM2G131554	Sb02g042180	Si030670m.g	LOC_Os07g47090	Bradi1g18347	none
GRMZM2G131575	Sb01g008830	Si037304m.g	LOC_Os03g52660	Bradi1g09430	none
GRMZM2G131577	Sb01g019040	Si037816m.g	LOC_Os10g34180	Bradi3g29087	none
GRMZM2G131591	Sb01g018050	Si037227m.g	LOC_Os10g35670	Bradi3g30040	none
GRMZM2G131595	Sb07g002420	none	LOC_Os08g03550	Bradi3g14240	none
GRMZM2G131597	Sb06g001290	Si012373m.g	LOC_Os04g04320	Bradi5g01220	none
GRMZM2G131609	Sb09g005100	Si021029m.g	none	Bradi2g34380	none
GRMZM2G131611	Sb06g000460	Si009962m.g	LOC_Os04g01490	Bradi5g02290	none
GRMZM2G131618	Sb01g018040	Si037802m.g	LOC_Os10g35680	Bradi3g30047	none
GRMZM2G131623	Sb01g018020	Si035205m.g	LOC_Os10g35710	Bradi3g30070	none
GRMZM2G131629	Sb01g008340	Si035970m.g	LOC_Os03g53410	none	none
GRMZM2G131638	Sb04g005290	Si016605m.g	LOC_Os02g08190	Bradi3g05830	none
GRMZM2G131650	Sb09g005110	Si021836m.g	LOC_Os05g07764	Bradi2g34360	none
GRMZM2G131667	Sb01g028360	Si037453m.g	LOC_Os10g42250	Bradi3g34050	none
GRMZM2G131683	Sb01g019050	Si034453m.g	LOC_Os10g34170	Bradi3g29080	none
error	GRMZM2G131699
GRMZM2G131708	Sb03g032710	Si002193m.g	LOC_Os01g51530	Bradi2g48030	none
GRMZM2G131715	none	none	none	none	none
GRMZM2G131723	Sb01g019076	Si036081m.g	none	Bradi3g29017	none
GRMZM2G131727	Sb04g024170	Si017059m.g	LOC_Os02g37120	Bradi3g47127	none
GRMZM2G131733	Sb09g021910	Si021353m.g	LOC_Os05g37340	Bradi2g23810	none
GRMZM2G131746	none	none	none	none	none
GRMZM2G131749	Sb09g005150	Si021120m.g	LOC_Os05g07820	Bradi2g34337	none
GRMZM2G131756	Sb09g021920	Si020961m.g	LOC_Os05g37410	Bradi2g23797	none
GRMZM2G131769	Sb01g018010	Si034542m.g	LOC_Os10g35720	Bradi3g30080	none
GRMZM2G131784	none	none	none	none	none
GRMZM2G131785	Sb01g037080	Si036636m.g	LOC_Os03g20170	Bradi1g64110	none
GRMZM2G131793	Sb05g002340	none	none	none	none
GRMZM2G131815	Sb01g019080	Si040532m.g	none	Bradi3g29007	none
GRMZM2G131817	Sb01g017960	Si035349m.g	LOC_Os10g35760	Bradi3g30100	none
GRMZM2G131820	none	none	none	none	none
GRMZM2G131822	Sb10g028540	Si006590m.g	LOC_Os06g48065	Bradi1g33790	none
GRMZM2G131836	Sb02g014910	none	none	Bradi4g08647	cinnamoyl-coa reductase
GRMZM2G131853	Sb01g031220	Si035612m.g	LOC_Os10g37740	Bradi3g31480	none
GRMZM2G131873	none	none	none	none	none
GRMZM2G131888	none	Si008376m.g	none	none	none
GRMZM2G131897	Sb08g019830	none	LOC_Os12g39990	none	none
GRMZM2G131907	Sb08g019790	Si023070m.g	LOC_Os12g39860	Bradi4g03060	none
GRMZM2G131912	Sb06g001410	Si010221m.g	LOC_Os04g05050	Bradi5g01135	none
GRMZM2G131928	none	none	none	none	none
GRMZM2G131937	Sb07g021420	Si014183m.g	LOC_Os08g33940	Bradi3g37047	none
GRMZM2G131939	none	none	LOC_Os03g46390	none	? gtp binding protein
GRMZM2G131943	Sb07g005510	Si013354m.g	LOC_Os08g09350	Bradi3g14907	none
GRMZM2G131957	Sb07g028800	none	LOC_Os08g38240	Bradi3g38990	none
GRMZM2G131961	Sb06g030100	Si010177m.g	LOC_Os04g54474	Bradi5g23340	none
GRMZM2G131969	Sb06g023190	Si010214m.g	LOC_Os04g44530	Bradi5g16320	none
GRMZM2G131982	Sb06g023960	Si010870m.g	LOC_Os04g45690	Bradi5g17080	none
GRMZM2G131988	Sb10g031220	Si006685m.g	LOC_Os06g51520	Bradi1g29320	none
GRMZM2G131998	Sb01g008280	Si035790m.g	LOC_Os03g53530	Bradi1g08810	none
GRMZM2G132000	Sb05g002720	Si027180m.g	LOC_Os11g04880	none	none
GRMZM2G132007	Sb01g016490	none	LOC_Os03g36960	none	none
GRMZM2G132009	Sb03g006020	Si000963m.g	LOC_Os01g05790	Bradi2g03340	none
GRMZM2G132019	Sb01g048230	Si037792m.g	none	none	none
GRMZM2G132021	Sb03g007130	Si002633m.g	LOC_Os01g04130	Bradi2g02200	crs2
GRMZM2G132028	none	none	none	none	none
GRMZM2G132032	Sb02g030760	Si033268m.g	LOC_Os09g36110	Bradi4g36000	none
GRMZM2G132036	Sb01g016500	Si038554m.g	none	Bradi1g15770	none
GRMZM2G132055	none	none	none	none	none
GRMZM2G132057	Sb07g028870	Si015086m.g	none	none	none
GRMZM2G132060	Sb10g031230	Si006124m.g	none	none	none
GRMZM2G132069	Sb03g003140	Si000952m.g	LOC_Os01g09570	Bradi2g05720	none
GRMZM2G132077	Sb08g018710	none	none	none	none
GRMZM2G132084	none	none	LOC_Os03g46410	none	none
GRMZM2G132090	Sb01g016650	Si039598m.g	LOC_Os03g36910	none	none
GRMZM2G132093	Sb09g003690	Si023188m.g	LOC_Os05g05620	Bradi2g35980	glutathione s-transferase subunit ii
GRMZM2G132095	Sb04g006920	Si018602m.g	LOC_Os02g10730	Bradi3g07440	none
GRMZM2G132101	Sb02g030770	none	LOC_Os09g36120	Bradi4g36010	none
error	GRMZM2G132110
GRMZM2G132116	Sb03g003130	Si002441m.g	LOC_Os01g09580	Bradi2g05730	none
GRMZM2G132121	Sb01g008270	none	none	none	none
GRMZM2G132130	Sb09g017810	none	LOC_Os05g29020	Bradi2g28000	none
GRMZM2G132140	Sb08g006380	Si012075m.g	LOC_Os12g10184	Bradi4g40440	none
GRMZM2G132144	none	none	none	none	none
error	GRMZM2G132154
GRMZM2G132162	none	none	none	none	none
GRMZM2G132169	Sb03g038550	Si000492m.g	LOC_Os01g61160	Bradi2g53800	none
GRMZM2G132184	Sb02g022880	Si029596m.g	LOC_Os09g19700	Bradi4g28627	none
GRMZM2G132185	Sb03g037080	Si002729m.g	LOC_Os01g58420	Bradi2g52370	none
GRMZM2G132212	Sb09g026090	Si021056m.g	LOC_Os05g44770	Bradi2g19380	none
GRMZM2G132218	Sb06g023200	Si010348m.g	LOC_Os04g44540	Bradi5g16330	none
GRMZM2G132223	Sb03g037085	Si003053m.g	none	Bradi2g52380	none
GRMZM2G132227	Sb01g044740	Si034394m.g	LOC_Os03g08830	Bradi1g72086	none
GRMZM2G132238	Sb01g033630	Si036381m.g	LOC_Os03g27120	Bradi1g60800	none
GRMZM2G132248	none	none	none	none	none
GRMZM2G132251	Sb03g037090	Si001398m.g	none	Bradi2g52390	none
GRMZM2G132273	Sb08g004670	Si011045m.g	LOC_Os12g07580	Bradi4g41340	none
GRMZM2G132284	Sb03g037105	Si002937m.g	LOC_Os01g58490	Bradi2g52410	none
GRMZM2G132286	none	none	none	none	none
GRMZM2G132301	Sb06g023210	Si013046m.g	LOC_Os04g44550	Bradi5g16340	none
GRMZM2G132303	Sb03g037150	Si001897m.g	LOC_Os01g58550	Bradi2g52460	none
GRMZM2G132324	none	none	none	none	none
GRMZM2G132331	Sb10g030570	Si008290m.g	LOC_Os06g50940	Bradi1g30026	none
GRMZM2G132340	none	none	none	none	none
GRMZM2G132358	Sb04g005870	Si017235m.g	LOC_Os02g09420	Bradi3g06380	none
GRMZM2G132367	Sb01g044620	Si036724m.g	LOC_Os03g08960	Bradi1g71930	none
GRMZM2G132371	Sb07g024150	Si013185m.g	LOC_Os08g44420	Bradi3g42837	kinesin
GRMZM2G132373	Sb10g009370	Si005675m.g	LOC_Os06g14750	Bradi1g44047	none
GRMZM2G132384	none	none	none	none	none
GRMZM2G132403	none	Si016204m.g	none	none	none
GRMZM2G132431	Sb09g019000	Si025261m.g	LOC_Os05g31785	Bradi2g26795	none
GRMZM2G132442	Sb09g018980	Si022518m.g	LOC_Os05g31760	Bradi2g26770	none
GRMZM2G132450	Sb08g019430	Si021790m.g	LOC_Os12g39300	Bradi4g03440	none
GRMZM2G132461	Sb09g018970	Si022692m.g	LOC_Os05g31750	Bradi2g26760	none
GRMZM2G132464	none	none	none	none	none
GRMZM2G132465	Sb03g010380	Si001335m.g	LOC_Os01g16090	Bradi2g09820	none
GRMZM2G132468	Sb02g000980	none	none	none	none
GRMZM2G132478	Sb09g018930	Si021767m.g	LOC_Os05g31740	Bradi2g26750	none
GRMZM2G132486	Sb02g030000	Si029010m.g	LOC_Os09g34180	Bradi4g35330	none
GRMZM2G132489	Sb02g010250	Si030102m.g	LOC_Os07g25540	Bradi1g28967	flavin monoxygenase
GRMZM2G132504	Sb02g000990	Si028658m.g	LOC_Os07g01940	Bradi1g59331	none
GRMZM2G132506	Sb03g045320	Si002811m.g	LOC_Os01g71190	none	none
GRMZM2G132509	Sb03g045260	Si001635m.g	LOC_Os01g71080	Bradi2g60190	none
GRMZM2G132519	Sb03g003790	none	none	Bradi2g05300	none
GRMZM2G132522	none	none	none	none	none
GRMZM2G132531	Sb07g024770	Si014327m.g	LOC_Os08g43670	Bradi3g42280	none
GRMZM2G132547	Sb03g029790	Si000703m.g	LOC_Os01g46570	Bradi2g45390	none
GRMZM2G132550	Sb09g006220	Si024546m.g	LOC_Os05g11070	none	none
GRMZM2G132562	none	none	none	none	none
GRMZM2G132568	Sb02g004350	Si030923m.g	LOC_Os07g08070	Bradi1g55650	none
GRMZM2G132577	Sb03g025590	Si003355m.g	LOC_Os01g38660	Bradi2g41470	none
error	GRMZM2G132591
GRMZM2G132593	Sb10g030420	Si006641m.g	LOC_Os06g50850	Bradi1g29947	none
GRMZM2G132595	none	none	none	none	none
